사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-03,경부선,127,신도림,517,2,"2,359",639,"3,329","2,262","9,729","6,931","11,220","15,999","6,185","6,931","4,466","4,608","4,423","3,946","4,783","4,200","4,766","4,536","4,646","4,268","4,922","5,085","5,416","5,705","8,790","8,528","15,277","12,694","6,093","8,203","4,582","4,453","5,150","4,199","3,661","4,060",826,"1,723",12,877,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,151,신길,904,8,"10,830","1,864","11,039","5,548","24,322","16,211","31,879","28,999","17,626","10,615","10,813","6,749","10,196","6,321","11,580","6,940","10,373","7,945","9,594","7,818","11,103","9,197","13,995","11,535","18,724","17,154","29,870","23,371","11,983","17,284","8,443","11,117","8,069","11,816","5,656","12,482","1,406","4,890",12,500,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,249,구로,"9,733",31,"24,058","5,144","19,358","12,380","37,637","32,598","36,604","83,722","25,205","42,700","19,869","24,956","19,896","21,056","20,355","21,187","21,702","22,871","22,425","21,622","24,559","23,848","30,395","27,328","47,043","37,453","68,201","43,821","30,034","30,383","20,241","19,315","19,970","19,390","12,972","18,492","2,905","11,137",23,"6,608",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,250,가산디지털단지,"1,039",4,"7,459","2,029","7,247","12,489","13,982","52,724","13,852","155,851","10,313","79,282","9,209","22,282","10,050","15,056","11,787","14,633","12,949","16,175","13,445","15,012","15,314","15,129","22,634","17,719","61,642","22,323","112,918","27,421","47,273","19,699","27,808","11,690","26,076","11,303","18,764","11,533","2,242","4,719",73,891,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,251,금천구청,564,1,"10,896","1,498","18,579","5,259","46,547","16,081","44,357","29,802","24,469","11,390","16,335","8,694","14,698","8,835","15,115","11,137","14,198","12,512","12,845","12,784","12,887","16,245","14,473","19,102","16,860","26,691","25,479","44,173","11,568","35,138","8,081","18,093","6,953","18,025","5,899","16,684","1,106","7,870",29,316,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,252,석수,344,2,"7,162","2,656","15,365","6,048","38,104","11,732","38,914","18,018","20,654","10,903","13,023","9,528","11,359","6,604","11,840","7,339","11,744","7,958","10,812","7,865","12,119","9,806","14,491","12,162","17,357","17,601","18,606","31,464","9,671","27,785","6,264","15,003","5,521","16,181","3,947","15,316",969,"6,264",27,252,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,253,관악,165,3,"6,990","1,783","12,233","4,306","32,411","5,257","30,088","9,110","14,478","8,431","10,111","8,515","8,500","6,272","9,453","6,737","9,206","7,115","9,084","6,546","9,211","8,479","11,161","9,874","11,354","14,126","10,158","26,766","5,907","22,026","4,291","12,206","3,904","12,214","2,197","12,062",731,"5,737",34,289,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,254,안양,229,1,"13,996","2,735","29,820","10,439","81,087","17,904","71,057","46,659","37,852","45,256","26,803","29,726","27,831","26,286","33,750","32,146","33,385","37,198","31,369","30,411","38,940","33,158","48,037","38,147","51,140","53,836","41,534","81,096","25,505","69,549","23,859","37,967","26,715","29,266","22,078","28,079","3,606","15,818",148,844,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,255,명학,133,2,"6,416","2,129","9,300","10,172","25,151","24,312","21,696","54,218","11,269","11,885","8,001","7,292","7,919","5,861","8,882","6,984","8,837","7,498","8,118","6,484","8,861","7,441","12,209","8,504","23,953","11,818","36,461","18,668","12,289","17,334","11,498","10,109","8,264","8,898","5,288","9,082","1,136","5,094",26,336,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,256,금정,212,3,"22,213","6,337","34,001","21,578","81,815","42,003","81,098","90,915","46,829","29,107","30,533","19,302","28,137","20,074","30,305","22,135","29,139","24,769","25,813","25,488","27,532","30,547","35,814","37,739","54,716","55,162","76,178","80,047","32,652","70,769","24,742","41,288","23,497","40,387","17,865","38,602","4,196","20,770",93,"2,511",1,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,257,군포,98,17,"5,126","1,832","8,645","7,822","18,750","30,496","17,762","46,069","9,173","7,760","6,868","4,523","6,574","4,596","7,302","5,067","6,608","5,707","6,280","5,338","6,699","6,703","8,563","7,527","20,237","10,370","36,945","14,787","12,310","12,884","10,466","8,311","6,777","7,047","3,592","6,724",995,"3,342",32,250,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,258,의왕,100,2,"6,134","1,600","12,487","7,463","31,120","23,815","28,999","25,305","12,625","7,895","9,835","5,940","9,435","6,281","9,579","6,998","9,816","8,148","9,097","8,163","9,605","9,590","12,448","12,437","23,180","17,302","22,377","28,272","11,159","20,198","7,036","15,017","6,932","12,130","3,896","12,037","1,196","6,333",63,585,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,259,성균관대,81,2,"7,551","1,435","24,866","4,807","64,370","9,181","52,052","25,080","22,776","18,475","17,241","13,063","16,611","12,395","19,153","13,594","18,893","17,446","16,136","15,867","17,285","16,970","22,484","20,948","26,027","33,175","24,633","57,035","14,136","46,472","11,393","30,287","12,223","25,399","10,709","24,834","2,691","12,407",95,"1,172",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,260,화서,388,4,"6,332","1,495","18,744","6,257","38,622","5,001","27,657","9,854","11,891","5,747","8,948","4,794","8,264","5,295","8,250","5,494","8,000","6,660","7,081","7,377","7,684","8,022","10,077","9,341","11,805","18,742","9,626","29,088","5,278","24,527","3,891","15,432","3,530","12,299","2,992","12,430",903,"6,132",25,583,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,261,수원,"1,805",31,"16,501","6,077","30,357","26,028","69,424","45,335","59,876","68,513","37,584","61,542","34,756","52,030","41,742","53,907","45,279","64,404","47,468","63,311","49,919","61,812","58,604","60,687","73,852","70,770","85,893","88,496","89,110","109,311","69,217","82,389","72,512","48,632","59,967","36,841","54,160","34,019","10,370","19,501",175,"2,997",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,262,독산,433,2,"6,851","2,920","15,492","14,134","37,785","40,876","36,387","96,023","19,235","45,062","14,587","15,756","13,981","11,230","15,845","12,619","15,225","13,285","14,529","11,970","16,186","14,495","24,540","17,025","48,862","23,695","71,969","37,840","32,488","32,619","18,969","17,151","13,653","19,413","9,341","18,293","1,710","7,467",24,425,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,263,세류,346,1,"3,194",831,"6,878","2,615","13,999","3,768","9,560","4,718","4,419","2,640","3,660","2,242","3,407","2,712","3,276","2,544","3,264","2,926","2,902","3,003","3,279","3,293","4,114","4,343","5,408","6,362","5,324","9,718","2,922","8,812","2,625","5,229","2,052","5,052","1,227","4,565",385,"2,239",4,504,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,264,병점,"2,628",20,"6,104","3,319","22,210","10,178","45,719","21,997","36,592","24,295","21,783","12,415","17,918","11,120","18,244","12,603","19,348","13,401","17,518","14,733","16,503","15,424","18,038","16,516","22,681","22,857","31,316","31,500","31,265","42,000","16,594","40,566","12,178","26,630","10,802","23,741","8,522","23,000","2,088","12,352",28,"4,240",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,265,세마,231,5,"1,559",460,"4,821","1,299","9,457","3,672","7,288","7,552","5,044","2,241","3,759","1,532","3,517","2,114","3,667","2,128","3,675","2,581","3,027","2,608","3,046","2,116","4,046","4,018","5,034","5,237","6,414","6,946","2,749","7,091","1,869","4,534","1,666","4,469","1,036","4,196",413,"1,807",25,114,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,266,오산대,116,0,"2,618",437,"5,779","2,035","10,798","3,681","7,660","9,689","4,999","4,329","4,082","3,811","3,872","3,369","4,518","3,385","4,946","4,543","4,717","3,572","5,658","2,986","8,083","4,445","7,142","6,633","7,952","9,946","3,653","7,808","3,020","4,877","2,776","5,041","2,050","4,022",745,"2,321",38,100,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,267,오산,188,1,"5,726","1,446","13,876","9,551","22,228","23,857","19,674","21,099","14,805","13,436","13,186","9,231","13,937","9,212","16,633","12,429","13,935","13,035","13,892","12,203","14,755","14,364","18,542","16,886","24,817","22,093","26,947","25,842","14,447","22,333","11,566","17,009","8,777","13,670","5,772","10,582","1,679","5,726",107,356,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,268,진위,18,0,638,281,"1,430","2,071","2,372","7,097","2,146","7,940","1,567","1,436","1,216","1,214","1,287","1,079","1,576",955,"1,594","1,151","1,466","1,034","1,910","1,020","3,117","1,538","6,013","1,530","8,852","2,029","3,013","2,201","2,012","1,188","1,301","1,497",609,"1,352",227,650,4,46,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,269,송탄,38,0,"5,895",636,"7,051","2,728","12,750","5,323","9,296","6,697","7,252","4,365","6,373","3,405","6,607","4,005","6,931","4,770","6,546","4,908","5,895","5,314","6,410","6,139","8,288","6,859","8,186","9,860","9,244","10,718","4,908","11,809","3,581","7,463","3,145","7,693","2,076","8,341",638,"3,515",30,419,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,270,서정리,24,0,"2,876","5,473","7,611","5,091","12,454","11,980","10,788","17,106","8,035","10,650","8,035","6,638","8,614","5,633","10,455","8,856","9,359","8,819","9,627","7,379","11,134","7,877","16,213","10,557","23,246","13,225","18,984","13,402","9,210","13,922","7,467","9,143","5,006","8,116","2,857","8,378",830,"4,967",15,435,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,271,지제,2,0,"1,100","2,714","2,699","7,612","7,185","9,321","5,763","6,855","3,371","2,981","2,999","1,888","2,974","2,492","4,268","2,985","2,632","2,552","3,348","2,667","4,877","3,377","5,435","3,838","10,414","4,140","8,788","6,249","5,384","4,906","3,379","4,018","3,132","3,131","2,688","3,134",816,"1,758",0,61,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,272,평택,38,0,"6,182","2,482","13,067","7,315","25,164","15,716","22,261","21,466","18,716","16,395","17,495","14,035","17,504","17,873","18,413","18,675","18,590","20,113","18,571","20,522","19,839","20,192","23,802","25,786","28,491","30,289","27,146","32,552","19,092","23,202","18,897","18,335","13,437","13,576","10,686","11,137","3,721","7,021",15,"1,156",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,273,성환,13,0,"1,625",303,"2,945","1,590","5,450","10,213","4,918","13,519","4,749","8,725","4,785","4,624","5,129","5,568","6,926","7,905","8,212","7,864","7,438","5,445","8,017","4,948","10,178","5,532","14,952","6,606","11,576","6,830","4,822","5,090","4,127","4,359","2,758","4,301","1,314","3,546",556,"2,317",60,436,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,274,직산,18,0,502,193,"1,266",775,"1,841","2,009","1,166","2,979",980,797,960,861,863,723,975,867,837,994,857,776,"1,190",707,"1,104","1,079","2,158","1,338","2,481","1,453","1,019","1,544",674,810,575,982,339,697,169,594,25,101,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,275,두정,"1,049",3,"4,048",692,"8,249","2,260","13,015","7,649","11,109","9,240","7,676","8,923","7,239","7,266","7,600","8,326","7,974","10,811","9,175","9,447","8,853","7,905","9,433","8,243","10,507","9,073","13,666","11,187","13,925","16,010","7,746","11,533","5,951","10,249","4,956","7,967","3,499","6,952","1,925","6,030",35,"1,500",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,276,천안,"1,461",4,"2,490",619,"4,467","3,097","8,040","4,884","7,586","8,456","8,378","8,221","7,527","8,468","9,077","9,246","8,848","10,076","9,655","10,831","10,201","9,063","11,414","11,873","12,057","10,166","12,602","12,091","11,399","13,260","8,562","9,503","6,357","6,808","4,720","4,745","2,665","3,950","1,297","2,517",13,"1,749",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,277,당정,3,0,"2,936",978,"10,332","3,107","25,170","8,815","21,836","15,907","11,074","4,830","7,833","3,862","7,697","4,302","7,812","4,794","7,275","5,454","6,350","5,772","6,746","6,283","7,763","8,271","11,289","12,154","14,350","17,940","5,962","18,594","4,475","12,022","3,461","10,174","3,057","10,897",804,"5,225",27,348,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,278,서동탄,0,0,"1,067",8,"4,592",629,"10,355","1,739","4,447","1,830","2,155",750,"1,713",701,"1,628","1,041","1,609","1,178","1,378","1,084","1,339","1,348","1,503","2,010","1,812","1,847","2,079","2,960","2,543","4,282","1,085","5,664",795,"2,923",534,"2,030",451,"2,670",149,"1,398",9,761,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경부선,279,광명,0,0,6,"1,786","2,798","4,065","12,229","4,429","10,273","4,415","4,876","3,722","4,215","2,707","3,224","1,776","3,515","4,944","3,223",151,"2,920","5,354","6,051","2,546","2,730","3,938","7,201","4,702","7,159","11,409","6,572","7,140","1,976","3,575","4,308","2,791","2,111","2,637",434,"1,921",1,1,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,293,개봉,"1,083",2,"17,535","5,612","35,382","12,195","92,898","15,270","83,291","23,146","48,048","18,236","32,172","14,731","29,339","17,796","30,258","20,986","28,204","21,720","24,847","25,320","23,455","30,723","27,604","39,043","30,015","57,623","29,539","93,204","17,092","73,003","12,707","40,379","11,802","38,523","8,994","36,285","2,392","15,341",21,914,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,294,오류동,489,3,"11,488","1,939","17,923","5,029","51,707","6,334","53,115","11,248","26,478","9,596","18,068","9,231","16,841","9,429","18,482","11,240","16,882","12,791","14,362","13,988","14,327","16,802","15,069","20,160","15,553","27,920","14,945","45,443","8,304","39,124","6,505","23,712","5,706","20,442","4,650","20,220","1,321","8,653",17,471,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,295,역곡,814,10,"26,399","4,035","43,544","11,019","121,623","12,968","114,495","32,788","58,549","30,395","38,376","24,782","34,395","25,677","36,981","28,690","36,314","30,125","31,752","31,591","32,520","32,536","38,285","49,406","42,706","65,763","36,473","109,975","22,401","96,623","17,904","54,771","16,732","48,360","14,364","50,579","3,518","21,185",53,874,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,296,부천,"2,319",10,"35,531","4,673","42,231","12,198","108,218","19,159","104,485","44,875","57,468","39,116","41,705","35,079","43,070","37,749","46,965","46,278","46,439","49,459","44,672","51,318","48,354","50,923","54,113","62,729","56,800","84,338","56,035","120,920","38,081","105,701","32,454","52,876","35,332","48,512","30,880","45,052","6,495","23,909",172,"2,629",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,297,송내,"1,272",1,"15,512","7,773","36,725","15,393","110,793","31,181","87,858","78,457","47,736","42,528","32,910","21,837","34,762","20,965","34,243","23,619","31,991","26,598","28,902","26,472","31,258","28,070","37,764","37,996","45,252","55,141","72,725","88,829","31,220","86,135","21,294","46,990","19,912","40,918","16,845","42,756","4,542","19,068",364,"2,035",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,298,부평,"7,573",57,"20,138","4,757","35,051","11,994","85,544","19,593","78,342","35,023","43,902","39,110","34,872","32,151","37,240","38,298","41,300","45,776","42,158","53,884","41,161","53,090","45,687","56,101","52,551","67,916","58,994","87,681","55,976","127,979","42,601","93,185","40,072","49,272","47,143","40,892","47,269","40,111","8,833","20,418",853,"3,297",1,1,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,299,백운,41,1,"7,302","1,699","13,118","3,957","29,356","4,362","25,182","9,292","14,455","6,413","11,105","5,360","10,756","6,554","10,923","7,717","9,979","8,187","8,550","8,428","8,346","10,593","10,124","12,386","12,011","16,858","9,308","24,187","5,111","22,621","3,537","13,780","3,351","12,027","2,494","11,819",966,"6,422",94,923,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,300,동암,424,6,"19,641","4,841","28,633","10,545","54,968","13,977","50,537","17,745","30,658","13,449","21,961","12,673","20,676","14,708","22,155","15,880","20,985","16,908","18,727","17,064","17,966","22,170","21,334","27,600","25,462","39,584","23,687","52,717","14,108","47,521","10,873","30,783","10,496","27,798","8,626","27,524","2,595","13,847",121,"1,658",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,301,주안,"1,122",33,"12,924","3,709","25,180","9,339","63,717","17,965","54,626","30,215","32,733","21,687","24,654","15,567","25,463","15,107","28,444","19,647","27,336","19,027","24,757","21,593","26,692","21,180","30,887","30,622","37,555","37,800","38,800","54,912","21,581","56,870","18,082","31,736","17,896","28,069","16,202","26,577","3,992","18,073",243,"1,824",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,302,제물포,786,4,"7,243","1,326","13,497","4,269","38,273","13,009","31,702","28,156","17,285","15,651","13,757","9,768","13,927","8,331","15,662","11,158","15,005","12,100","13,203","11,186","16,008","11,486","21,483","15,854","21,342","21,163","23,955","28,394","9,526","27,662","6,733","17,036","5,766","16,012","4,226","15,741","1,348","9,833",22,"1,384",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,303,동인천,"1,576",3,"7,087","2,964","15,678","11,399","39,594","22,029","31,118","32,499","19,370","15,089","17,103","15,331","19,046","17,196","20,205","18,235","20,742","19,743","20,844","19,034","24,079","18,412","28,880","22,111","35,337","25,286","37,190","31,659","17,110","33,408","12,508","19,484","10,155","15,094","7,151","16,822","1,633","9,736",14,"1,563",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,304,인천,250,3,"1,226","1,017","2,798","3,066","5,626","5,545","4,530","7,825","2,767","3,532","2,971","4,179","3,722","6,894","5,161","8,006","6,363","7,159","8,112","7,182","9,540","5,623","10,788","4,410","12,624","3,805","11,707","3,215","5,295","2,339","4,202","1,918","2,824","1,511","1,408","1,365",408,847,5,442,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,305,구일,215,3,"3,705","1,305","9,071","3,026","26,958","8,001","23,318","11,072","11,899","5,422","8,604","4,399","7,946","4,921","8,417","5,898","8,196","6,687","7,400","6,867","8,089","8,605","10,442","10,016","9,644","14,304","11,293","26,259","5,102","21,179","3,919","11,422","3,419","10,524","3,208","10,445",708,"3,758",12,213,1,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,306,소사,"1,087",48,"17,080","2,783","16,157","5,799","36,226","7,364","31,819","11,504","19,733","8,603","15,457","8,933","13,723","9,879","14,296","11,442","13,407","11,328","12,022","11,823","11,927","12,531","12,597","16,534","14,686","21,931","12,508","30,476","7,374","27,169","5,220","15,879","4,629","15,383","3,561","14,476","1,200","7,967",31,936,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,307,부개,"1,718",12,"8,940","2,435","15,920","4,622","39,692","6,331","30,678","10,509","16,744","6,074","12,407","5,682","11,490","7,078","11,699","7,794","11,318","9,143","9,553","9,089","9,356","11,482","12,083","14,609","11,873","18,635","11,335","30,254","6,145","25,477","4,070","15,465","3,703","13,791","3,110","13,646","1,067","6,875",84,989,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,308,간석,338,8,"4,970","1,017","10,901","2,307","23,860","4,321","19,595","8,680","10,892","5,157","8,519","4,439","8,042","5,754","8,470","6,291","8,007","6,704","7,583","7,152","7,602","7,940","8,771","10,136","8,934","14,162","9,704","18,685","4,848","18,518","4,041","10,427","3,837","8,885","2,734","8,719","1,149","5,018",61,715,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,309,도원,536,7,"2,135",740,"2,952","2,171","6,448","5,956","5,868","21,116","4,067","3,836","4,025","3,722","4,405","3,141","4,989","3,671","4,489","4,130","4,326","4,222","6,821","4,921","12,561","5,458","9,060","5,942","8,254","6,304","3,039","5,403","2,330","3,335","2,987","3,057","1,112","2,556",311,"1,843",4,433,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,310,온수(성공회대입구),152,3,"5,419","1,253","8,379","3,617","23,145","9,864","23,094","13,797","12,483","7,917","9,904","5,616","9,246","5,493","10,637","7,516","9,768","7,520","9,198","7,593","9,729","8,615","14,165","11,081","12,337","13,800","11,750","23,482","5,866","19,094","3,854","10,996","4,151","10,089","3,201","11,105","1,020","4,145",31,309,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,311,중동,702,13,"10,576","1,294","16,311","4,343","43,928","5,839","32,927","12,884","17,444","7,898","12,737","7,214","11,946","7,721","12,718","9,271","12,118","9,834","10,459","10,381","10,395","11,488","11,642","14,845","12,361","19,676","12,771","30,804","6,947","29,772","5,018","16,769","4,157","14,185","3,125","14,625",955,"7,265",81,"1,074",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경인선,312,도화,228,2,"4,026",633,"6,827","1,986","17,572","4,479","14,357","7,145","7,927","3,167","6,038","3,354","5,995","3,916","6,352","4,769","6,038","4,516","5,411","5,056","5,281","5,503","6,589","7,907","6,327","8,459","6,839","10,710","3,146","11,558","2,138","6,724","1,596","6,085","1,286","5,287",512,"3,949",11,707,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,128,이촌(국립중앙박물관),75,1,"1,136",568,"3,061","2,039","8,063","4,771","8,400","8,138","6,567","4,852","5,040","2,985","5,123","2,911","5,353","3,436","5,596","3,836","5,477","3,597","6,226","4,269","7,844","4,697","10,072","5,636","9,961","7,659","5,348","6,402","3,971","4,090","3,815","3,790","2,506","4,638",481,"1,725",13,370,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,129,서빙고,43,1,717,620,"2,030","2,771","3,386","4,202","2,707","8,117","2,714","3,026","2,243","1,887","2,137","1,546","2,376","1,721","2,582","1,865","2,487","1,920","3,163","2,306","4,484","2,330","6,053","2,562","6,584","3,649","2,595","2,798","1,800","1,506","1,493","1,688",990,"1,714",219,827,23,132,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,130,한남,94,1,"1,620",655,"2,441","3,613","4,558","10,141","5,813","13,867","4,515","11,430","4,440","5,318","4,424","4,107","4,725","4,512","4,643","5,220","5,322","4,526","6,792","4,689","7,734","5,403","13,481","6,403","14,516","7,200","6,991","5,814","5,039","2,723","5,139","2,995","5,747","2,719",863,"1,180",13,374,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,131,옥수,0,0,0,12,0,46,24,27,126,232,65,13,27,111,20,130,14,74,24,27,40,9,11,18,313,37,380,50,43,31,367,4,33,17,29,22,16,19,9,1,1,0,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,132,응봉,125,0,"1,125",274,"2,669","1,135","6,851","2,210","7,085","2,444","4,461","1,766","3,100","2,313","2,690","2,225","3,151","2,207","2,796","2,696","2,600","2,882","2,794","2,793","3,255","3,611","2,926","4,101","3,250","5,214","1,679","5,364","1,324","2,644","1,017","1,986",879,"2,650",246,"1,005",16,189,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,133,왕십리(성동구청),744,1,"5,010",762,"8,370","4,372","24,896","10,716","38,860","19,985","25,322","14,008","14,450","14,392","13,799","15,796","16,205","19,737","17,788","20,843","18,353","21,443","20,449","23,611","23,324","28,818","27,015","40,629","28,289","61,695","21,027","45,422","20,281","25,541","25,848","20,215","24,138","23,515","3,783","8,598",88,"2,604",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,134,청량리(서울시립대입구),"1,273",7,"5,526","1,172","8,127","9,265","27,613","12,509","37,275","21,191","20,433","26,583","25,295","26,233","19,728","29,079","24,986","27,137","28,810","27,825","26,532","30,950","29,381","31,433","30,430","31,007","27,935","29,437","32,460","45,422","19,785","32,037","22,296","17,189","13,231","17,061","7,384","12,234","2,688","5,302",22,"1,748",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,136,외대앞,511,13,"4,312","1,103","7,699","3,137","17,099","3,950","20,985","12,397","11,927","8,867","10,329","8,430","10,039","8,499","11,702","9,394","11,759","9,650","11,705","10,413","12,511","12,270","13,977","13,718","15,505","17,230","12,685","22,949","8,576","19,442","7,189","11,440","7,908","11,455","6,655","12,900","1,596","6,524",51,772,0,0,1,1,0,0,2021-04-03 10:21:59
2021-03,경원선,137,신이문,"1,208",14,"8,981","1,136","13,619","2,154","37,458","4,201","37,719","7,909","20,531","4,686","14,213","5,244","12,284","6,456","12,303","8,188","11,836","8,358","10,434","9,470","9,478","12,986","9,194","16,275","8,739","20,652","8,295","30,897","5,820","25,538","3,365","16,086","2,856","13,214","2,332","14,994",757,"6,112",32,641,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,138,석계,"1,188",9,"6,023","1,632","10,237","3,574","24,152","4,995","27,900","8,363","18,429","6,175","14,529","6,853","12,705","8,036","13,213","9,600","12,421","10,220","11,240","11,855","11,056","16,078","10,595","19,326","11,415","24,782","10,721","37,021","8,218","28,311","6,114","17,747","6,664","14,704","5,428","15,015","1,165","6,245",41,716,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,139,광운대,"1,991",2,"5,954","1,018","12,497","2,330","31,362","6,096","29,907","14,289","15,222","9,843","12,261","9,904","11,332","11,359","12,420","10,294","13,004","11,345","12,142","13,363","12,163","12,472","15,225","14,290","14,605","17,594","12,444","24,455","7,571","23,513","5,961","14,261","5,909","11,833","4,962","13,102","1,539","8,371",58,"2,147",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,140,월계,530,3,"4,734","1,022","8,540","2,240","24,056","7,780","20,925","9,017","12,957","7,223","10,461","5,208","9,699","5,883","9,790","7,714","9,952","8,921","8,873","7,607","10,317","9,398","12,407","12,219","10,572","13,786","9,165","19,605","5,322","18,442","3,731","9,580","3,693","8,478","2,740","9,689",829,"4,038",55,649,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,141,녹천,962,14,"4,321",686,"7,738","1,496","21,891","3,634","16,734","4,572","10,479","2,271","7,394","3,095","6,591","3,335","7,701","4,511","6,568","4,480","5,454","4,463","5,495","5,989","6,873","7,654","5,479","9,178","4,724","13,704","3,610","13,500","1,999","8,052","2,093","6,459","1,200","7,202",480,"3,482",32,443,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,142,창동,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,경원선,358,방학,451,5,"10,741","1,630","14,661","5,784","30,340","8,491","28,039","18,815","17,377","9,873","15,297","9,968","13,810","9,129","15,297","10,313","13,895","11,344","13,048","12,742","13,264","16,081","14,273","18,926","14,527","19,265","17,942","28,904","8,900","26,322","6,211","13,929","5,246","13,090","4,299","10,950","1,067","6,311",102,"1,483",0,0,0,0,0,0,2021-04-03 10:21:59
