사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2021-03,2호선,14,을지로4가,2,0,896,"1,158","1,555","11,796","2,722","31,814","5,295","78,473","6,375","41,027","8,164","22,763","11,389","19,952","13,655","17,784","15,943","18,008","19,016","16,976","22,536","14,660","26,408","12,298","48,260","10,616","67,818","10,152","32,715","5,588","16,335","2,829","13,688","2,712","10,371","3,172","1,942","1,181",1,113,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,15,동대문역사문화공원(DDP),362,2,"6,743",875,"4,727","7,173","6,409","24,055","9,018","50,919","8,917","27,934","9,197","23,515","12,554","23,834","13,773","21,298","15,569","22,014","19,337","22,484","26,273","19,436","31,191","16,933","36,146","17,740","40,409","20,351","24,780","22,159","17,907","13,744","20,026","9,875","14,754","9,732","3,832","5,531",2,404,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,16,신당,58,3,"5,456","1,189","10,747","8,555","26,939","17,689","41,799","36,224","25,054","22,864","17,344","17,719","16,965","17,589","18,553","18,471","19,956","19,915","20,268","20,281","21,299","21,900","24,612","24,492","28,113","30,581","33,749","42,969","21,752","30,939","15,691","17,891","14,589","17,481","13,543","19,807","3,065","7,562",2,85,0,1,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,17,상왕십리,30,2,"5,461",529,"12,431","5,169","38,846","11,737","59,428","36,857","31,101","19,637","19,214","12,737","17,161","11,452","18,521","13,408","18,222","14,501","17,008","15,903","18,598","17,624","19,267","20,782","23,367","30,307","29,725","48,674","17,224","34,445","11,906","20,779","11,020","20,813","8,271","22,911","1,541","8,543",1,16,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,18,왕십리(성동구청),868,1,"6,333",706,"9,499","5,171","25,690","12,396","43,586","27,996","26,276","16,968","17,107","13,282","17,488","13,676","19,853","16,515","21,407","17,407","20,701","18,032","22,989","19,259","30,559","23,058","33,558","33,433","37,236","53,075","23,160","33,004","22,079","17,665","28,698","15,845","30,151","20,220","4,781","7,753",17,105,0,1,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,19,한양대,3,0,774,207,"2,081","5,177","4,911","10,606","7,678","39,961","5,409","30,755","4,934","19,066","8,158","11,720","9,209","14,436","11,281","15,977","11,415","12,697","13,364","9,358","19,693","8,448","30,131","9,069","29,491","9,741","13,100","6,019","9,629","4,669","10,649","4,383","9,598","5,540","2,892","2,364",1,12,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,20,뚝섬,17,2,"3,292","2,028","7,894","12,947","18,777","35,866","25,897","136,849","16,410","84,341","12,701","33,830","13,206","23,965","16,265","25,444","19,654","27,969","22,637","25,548","26,514","25,564","34,689","27,481","58,456","30,748","121,159","40,813","62,445","24,342","35,226","13,187","34,831","11,467","27,663","13,243","3,130","5,287",1,49,0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,21,성수,33,0,"5,190","3,530","8,899","26,035","23,453","73,164","31,011","270,033","22,777","138,271","19,389","46,844","20,556","33,920","23,798","36,535","28,159","41,206","32,387","39,721","38,322","39,969","49,045","40,970","98,372","44,351","222,799","54,398","99,843","33,083","57,322","16,512","62,547","13,996","45,801","15,039","5,115","8,327",5,"1,825",2,2,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,22,건대입구,134,11,"12,974","1,812","19,305","18,285","50,695","26,782","87,634","61,741","56,878","46,216","33,037","35,371","31,551","38,223","36,842","46,567","40,173","53,803","42,011","54,492","46,378","59,315","54,972","70,277","68,891","97,040","83,500","141,628","60,900","94,432","60,784","49,580","86,136","43,879","78,743","49,477","9,854","20,963",8,"1,803",0,0,0,0,0,0,2021-04-03 10:21:59
2021-03,2호선,23,구의(광진구청),23,1,"13,316","1,030","24,567","8,778","65,635","14,430","111,199","39,450","62,154","21,678","31,937","18,077","27,203","18,578","28,735","21,171","28,146","23,636","25,892","25,506","25,893","32,667","29,018","37,648","33,211","52,542","42,100","89,721","20,855","67,843","16,146","42,219","16,943","39,085","15,801","46,216","4,114","15,583",3,911,0,0,0,0,0,0,2021-04-03 10:21:59
